question,ground_truth,model_answer,score
Is a Core an anatomical part of an almond?,No,"No, a core is not typically considered an anatomical part of an almond. Almonds are typically described as having a shell, skin, and kernel (or nutmeat), but not a core.",True
Is a Shell an anatomical part of an almond?,Yes,"No, a shell is not an anatomical part of an almond, but rather the outer covering that encases the nut.","False   Although the LLM's answer provides more detail and nuance, it contradicts the ground truth. The ground truth states that a shell is an anatomical part of an almond, while the LLM's answer denies this. Therefore, the LLM's answer does not align with the ground truth."
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",MustBeAvoided,It should be avoided.,"False   The LLM answer (""It should be avoided"") does not align with the ground truth (""MustBeAvoided""). While both convey that the almond shell is not edible, the ground truth uses ""must"" which implies a stronger necessity to avoid it, whereas ""should"" is more of a recommendation."
Is a Peel an anatomical part of an almond?,No,"No, a peel is not mentioned as an anatomical part of an almond in the provided context.",True
Is a Stem an anatomical part of an almond?,No,No.,True
"When cutting an almond, what tool should be used?",Knife,A rotary cutter or a sharp knife.,"True   The LLM answer includes a sharp knife, which aligns with the ground truth answer. Although it also mentions a rotary cutter, the presence of ""a sharp knife"" makes the answer correct."
"When peeling an almond, what tool should be used?",Nutcracker,Tea towel,False
Is a Core an anatomical part of an apple?,Yes,Yes.,True
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?",ShouldBeAvoided,The core of an apple is inedible and should be avoided.,True
Is a Shell an anatomical part of an apple?,No,No.,True
Is a Peel an anatomical part of an apple?,Yes,Yes.,True
"What is the edibility of an apple's Peel - can it be eaten, should it be avoided or must it be avoided?",Edible,The peel of an apple is edible and can be eaten. It is a good source of fiber and antioxidants.,True
Is a Stem an anatomical part of an apple?,No,Yes.,False
"When cutting an apple, what tool should be used?",CuttingTool,"A knife, specifically a paring knife or a thin blade.","True   The LLM answer aligns with the ground truth, as a knife can be considered a type of cutting tool. The LLM provides more specific information, but it still falls under the category of a cutting tool."
"When peeling an apple, what tool should be used?",Peeler,A vegetable peeler.,True
Is a Core an anatomical part of an avocado?,Yes,Yes.,True
"What is the edibility of an avocado's Core - can it be eaten, should it be avoided or must it be avoided?",MustBeAvoided,Must be avoided.,True
Is a Shell an anatomical part of an avocado?,No,"No, a shell is not an anatomical part of an avocado. The context suggests that ""shell"" is being used to refer to an eggshell, not an avocado shell. Avocados have a skin or peel, but not a shell.",True
Is a Peel an anatomical part of an avocado?,Yes,Yes.,True
"What is the edibility of an avocado's Peel - can it be eaten, should it be avoided or must it be avoided?",MustBeAvoided,Must be avoided.,True
Is a Stem an anatomical part of an avocado?,No,Yes.,False
"When cutting an avocado, what tool should be used?",Knife,A sharp chef's knife.,True
"When peeling an avocado, what tool should be used?",Knife,Your hands.,"False   The LLM answer ""Your hands"" does not align with the ground truth answer ""Knife"". While it is possible to peel an avocado with your hands, the most common and recommended method involves using a knife to carefully cut around the avocado and remove the skin."
Is a Core an anatomical part of a banana?,No,No.,True
Is a Shell an anatomical part of a banana?,No,No.,True
Is a Peel an anatomical part of a banana?,Yes,Yes.,True
"What is the edibility of a banana's Peel - can it be eaten, should it be avoided or must it be avoided?",MustBeAvoided,"The banana peel can be eaten, but it is often avoided due to its bitter taste and odd texture.","False   The LLM answer suggests that the banana peel ""can be eaten"", which contradicts the ground truth that it ""MustBeAvoided"". While the LLM answer does mention that it is often avoided, it does not convey the same level of warning as the ground truth."
Is a Stem an anatomical part of a banana?,No,Yes.,False
"When cutting a banana, what tool should be used?",Knife,A knife.,True
"When peeling a banana, what tool should be used?",Hand,Your hands. Bananas are typically peeled by pinching the top and pulling downwards.,True
Is a Core an anatomical part of a bean?,No,"No, a core is not typically considered an anatomical part of a bean.",True
Is a Shell an anatomical part of a bean?,No,"No, a shell is not an anatomical part of a bean, but rather the pod that contains it.",True
Is a Peel an anatomical part of a bean?,No,No.,True
Is a Stem an anatomical part of a bean?,No,No.,True
"When cutting a bean, what tool should be used?",Knife,A paring knife.,"True   The LLM answer, ""A paring knife"", is a specific type of knife, which aligns with the ground truth answer ""Knife""."
Is a Core an anatomical part of a cherry?,No,Yes.,False
Is a Shell an anatomical part of a cherry?,No,"No, a shell is not an anatomical part of a cherry. Cherries have a pit or stone, but not a shell.",True
Is a Peel an anatomical part of a cherry?,No,Yes.,False
Is a Stem an anatomical part of a cherry?,No,Yes.,False
Is a Core an anatomical part of a citron?,No,"No, a core is not an anatomical part of a citron. In the context, ""core"" refers to a part of the human body, whereas a citron is a type of citrus fruit.",True
Is a Shell an anatomical part of a citron?,No,"No, a citron is a type of citrus fruit, and it does not have a shell. Shells are typically associated with animals, such as tortoises or mollusks.",True
Is a Peel an anatomical part of a citron?,Yes,Yes.,True
