question,model_answer,context
Is a Core an anatomical part of an almond?,"No. 

The context discusses preparing almonds for consumption, not their internal anatomy.","['2.2 Add the almonds in a large bowl. Pour water over the almonds so that it covers them. Set the bowl aside overnight. Placing the almonds in water allows them to soften and makes them easier to blend. It also increases the digestibility of the nut and increases your ability to absorb the nutrients within.', 'the nut itself. That way, you can keep the shells separate from the nuts.', 'How to Make Almond Cream']"
Is a Shell an anatomical part of an almond?,"No. 

The context refers to shells as the outer covering of nuts like almonds and pistachios.","['the nut itself. That way, you can keep the shells separate from the nuts.', 'How to Shell Pine Nuts', 'the pistachio. The tip of the shell is sharp, and you could cut yourself if the shell slips and hits your hand.']"
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",Almond shells should be avoided.,"['2.2 Add the almonds in a large bowl. Pour water over the almonds so that it covers them. Set the bowl aside overnight. Placing the almonds in water allows them to soften and makes them easier to blend. It also increases the digestibility of the nut and increases your ability to absorb the nutrients within.', 'the nut itself. That way, you can keep the shells separate from the nuts.', ""Pepper to taste\nCrusty bread for serving\n4.2 \n4.3 Spread 2 oz. of whole almonds evenly on a baking sheet. Transfer the sheet to the oven and roast the almonds until they're fragrant, for about five minutes.\n4.4 Let them cool and them chop them by hand or use a food processor to chop them.\n4.5 Add 1 tbsp. of butter to the pan and cook until it's melted, for at least 30 seconds.""]"
Is a Peel an anatomical part of an almond?,"No. 

The context refers to peeling the *skin* of an almond, not a separate anatomical part called a ""peel"".","['electric peeler to obtain the skin of the fruit, but note that this may produce more pulp than a hand peeled method.', 'How to Make Almond Cream', 'How to Make Almond Oil']"
Is a Stem an anatomical part of an almond?,"No. 

The context refers to almond stems as separate from the almond itself.","['stems and is somewhat aromatic, especially after its leaves are cut or crushed.', '2.2 Add the almonds in a large bowl. Pour water over the almonds so that it covers them. Set the bowl aside overnight. Placing the almonds in water allows them to soften and makes them easier to blend. It also increases the digestibility of the nut and increases your ability to absorb the nutrients within.', 'and chervil have tender stems. You can chop their stems along with the leaves.']"
"When cutting an almond, what tool should be used?",Knife,"['How to Make Almond Oil', 'How to Use Nuts As Thickening Agents', 'How to Make Almond Cream']"
"When peeling an almond, what tool should be used?",The provided text suggests using an **electric peeler** or **hand peeling**.,"['electric peeler to obtain the skin of the fruit, but note that this may produce more pulp than a hand peeled method.', 'How to Make Almond Cream', ""1.4 Use a pressing device, such as a sieve, to squeeze the fruit peel over a jar. Heavy pressure will squeeze liquid from the peel - this liquid contains the oils you're looking for. Use a fair amount of strength when pressing, but take care not to damage or break the implement you are using. You should see a small amount of oil drain from the peel after a few seconds. Cold pressing peel is quite a bit of effort for what looks to be a fairly small amount of oil. Don’t get discouraged. The oil""]"
Is a Core an anatomical part of an apple?,Yes.,"['1.3 Stand an apple upright and use a sharp knife to slice the apple in half through the middle of the core. Slice the halves in two, leaving four large pieces. Cut out and discard the core. Repeat with the remaining apples. Apples break down as they roast, so keep this in mind when you decide on the size of your slices. Apples sliced into eight parts tend to come out with the best texture. If you have an apple corer, use that before slicing the apples.', ""2.3 Use either an apple corer or a paring knife to remove the cores and hollow out the apples. Don't cut all the way through, though. Keep the bottoms intact, since you're going to fill the apples with the remaining ingredients. If you're using a paring knife, make four deep slices around the stem of the apples. Use a spoon to scoop out the core and seeds. If you accidentally cut through the bottom of an apple, simply reinsert the bottom piece to block the bottom of the hole."", ""3.3 Use either an apple corer or a paring knife to remove the cores and hollow out the apples. Don't cut all the way through, though. Keep the bottoms intact, since you're going to fill the apples with the remaining ingredients. If you're using a paring knife, make four deep slices around the stem of the apples. Use a spoon to scoop out the core and seeds. If you accidentally cut through the bottom of an apple, simply reinsert the bottom piece to block the bottom of the hole.""]"
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?",Apple cores should be removed and discarded.,"[""2.3 Use either an apple corer or a paring knife to remove the cores and hollow out the apples. Don't cut all the way through, though. Keep the bottoms intact, since you're going to fill the apples with the remaining ingredients. If you're using a paring knife, make four deep slices around the stem of the apples. Use a spoon to scoop out the core and seeds. If you accidentally cut through the bottom of an apple, simply reinsert the bottom piece to block the bottom of the hole."", ""3.3 Use either an apple corer or a paring knife to remove the cores and hollow out the apples. Don't cut all the way through, though. Keep the bottoms intact, since you're going to fill the apples with the remaining ingredients. If you're using a paring knife, make four deep slices around the stem of the apples. Use a spoon to scoop out the core and seeds. If you accidentally cut through the bottom of an apple, simply reinsert the bottom piece to block the bottom of the hole."", '1.3 Stand an apple upright and use a sharp knife to slice the apple in half through the middle of the core. Slice the halves in two, leaving four large pieces. Cut out and discard the core. Repeat with the remaining apples. Apples break down as they roast, so keep this in mind when you decide on the size of your slices. Apples sliced into eight parts tend to come out with the best texture. If you have an apple corer, use that before slicing the apples.']"
Is a Shell an anatomical part of an apple?,"No. 

The context discusses slicing and coring apples, which are parts of the fruit, not the shell.","['1.3 Stand an apple upright and use a sharp knife to slice the apple in half through the middle of the core. Slice the halves in two, leaving four large pieces. Cut out and discard the core. Repeat with the remaining apples. Apples break down as they roast, so keep this in mind when you decide on the size of your slices. Apples sliced into eight parts tend to come out with the best texture. If you have an apple corer, use that before slicing the apples.', ""How to Draw an Apple\n1. Sketching a Realistic Apple\n1.1 Keep in mind that your circle doesn't need to be perfect since most apples have a unique, irregular shape. Press lightly so you can easily erase guidelines later.\n1.2 Sketch a horizontal oval that's about two-thirds as long as the circle's width. Draw it so it overlaps the bottom quarter of the circle. You'll use this oval as a guideline for the bottom of the apple where it narrows."", 'How to Make a Baked Apple']"
