question,model_answer,context
Is a Core an anatomical part of an almond?,"No.   The context refers to almonds as a whole and in ground form (almond meal), not their internal structure.","['3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', 'almond meal made with ground almonds to pastry crusts or other baked goods.', '4. Cooking With Almonds']"
Is a Shell an anatomical part of an almond?,No.,"['the nut itself. That way, you can keep the shells separate from the nuts.', 'almond meal made with ground almonds to pastry crusts or other baked goods.', 'the avocado half. If a piece of shell falls into the egg, simply use the shell to scoop it out.']"
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?","You can technically eat almond shells, but it's not recommended due to poor digestion and potential pesticide contamination.","['How to Use Almond Meal', 'ingredients (especially if substituted for less healthy ingredients), they should be eaten less frequently than the nuts above, or in smaller quantities.', 'Technically you can eat the shell, but it’s not great for digestion and might be contaminated with pesticides.']"
Is a Peel an anatomical part of an almond?,"No. The context refers to blanched almonds, which have had their skins removed.","['3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', 'hands. The almond meal left over can be dried and used to add more fiber to your diet.', 'almond meal made with ground almonds to pastry crusts or other baked goods.']"
Is a Stem an anatomical part of an almond?,"No.   The context refers to almonds as a garnish, not a plant part.","['Next, draw the top of the eyelid over the top of the almond. The base of the eyelid comes down over the top of the iris and covers the top of it slightly.', '3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', 'stem, which is located in amongst the foliage, or leaves.']"
"When cutting an almond, what tool should be used?",Rotary cutter,"['How to Use a Cuticle Cutter', 'How to Harvest Almonds', 'How to Choose and Use a Rotary Cutter']"
"When peeling an almond, what tool should be used?",A tea towel.,"['1.4 Using pot holders to protect your hands from the heat, pull the baking sheet out of the oven. Stir and flip the almond slices with a spatula or wooden spoon. Return the baking sheet to the oven and close the door. You can also shake the baking sheet to help redistribute the nuts.', 'How to Peel an Avocado', '2.5 Pour the almonds into a tea towel on the counter. Using another tea towel, rub the almonds vigorously from the top to loosen the skins. The friction created by both towels will cause the now-flaky exteriors of the almonds to come off. If any stubborn bits of exterior cling to your almonds, rub them individually with the towel to remove the skin.']"
Is a Core an anatomical part of an apple?,Yes.,"['4. Separating the Core from a Peeled Apple', '2.2 Inspecting the cross sections of the apple will show you what the core looks like. Some apples, such as the Discovery apple, have symmetrical cores. Others will have a distinctively shaped core that can help you narrow your search. For example, the Wealthy apple has a symmetrical core when cut in half. This means that both halves of the core will look the same when the apple is cut down the middle.', 'it. Use a paring knife to cut diagonally down to the center point underneath the core. Turn the apple slice around and cut from the other side to cleanly lift away the core.']"
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?",The apple core is inedible and should be avoided.,"['4. Separating the Core from a Peeled Apple', 'you might end up taking out some of the core. Cut the hard, stringy core chunks off the apple slices before using them.', '1.6 Use a vegetable peeler to remove the outer skin from the apple, being careful not to cut your fingers in the process. Stand the apples up, then, using a sharp knife, slice down along the edges of the core to remove the edible flesh of the apple from the inedible core. Cut the edible flesh into smaller slices as you see fit.']"
Is a Shell an anatomical part of an apple?,"No. The context refers to an eggshell, not an apple shell.","['4. Separating the Core from a Peeled Apple', '2.2 Inspecting the cross sections of the apple will show you what the core looks like. Some apples, such as the Discovery apple, have symmetrical cores. Others will have a distinctively shaped core that can help you narrow your search. For example, the Wealthy apple has a symmetrical core when cut in half. This means that both halves of the core will look the same when the apple is cut down the middle.', 'the avocado half. If a piece of shell falls into the egg, simply use the shell to scoop it out.']"
