question,model_answer,context
Is a Core an anatomical part of an almond?,"No, a core is not mentioned in the context as an anatomical part of an almond.","['Top with the scallions, cilantro and almonds.', 'layer everything.\ntill top add almonds on top', 'Shape mixture into 1-inch balls; insert 1 whole almond in center of each ball.\nRoll lightly in chopped almonds.']"
Is a Shell an anatomical part of an almond?,"No, a shell is not part of an almond, it's the outer covering that is removed.","['Beat together almond paste, sugar and rose water (or egg white) into a workable consistancy.\nShape into a hedgehog body, head, snout and ears.\nThe inside of ears may be colored with cinnamon.\nCarefully attach body parts, then add cloves for eyes.\nPress slivered almonds into body so they stand up resembling spines.\nAir dry.', 'Shape mixture into 1-inch balls; insert 1 whole almond in center of each ball.\nRoll lightly in chopped almonds.', 'I liked the way the almond and pecans complemented each other in these.']"
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",Almond shells must be avoided as they are not edible.,"['Repeat with the other half.\nTips: It is important to refrigerate (or wrap, label-including the date and freeze) any unused almond meal because it can become rancid after being ground and exposed to oxygen and light.\nStore-bought almond meal is frequently made with blanched almonds- almonds that have had the skins removed.\nTo maintain the valuable nutrition, use almonds with their skins on because the skin contains healthy antioxidants.', 'Can be cooked through if preferred.\nSprinkle almonds on top of each serving.', 'Not long before you want to eat, toast the slivered almonds by tossing them in a dry pan over medium heat until they are turning gold and flashed bronze in parts, then tip them onto a plate.\nWhen theyre cool, mix them with the reserved amaretti crumbs.\nRemove the plastic wrap from the bowl and scatter the nuts and crumbs over the pale, set surface.']"
Is a Peel an anatomical part of an almond?,Yes.,"[""The blush on the skin is pretty, but during taste tests most of us pulled off the peel and pushed it to the side of the plate.\nAlmond Paste: Almond paste is simply a combination of ground almonds and sugar.\nIt's available in supermarkets, usually in the baking aisle, and comes in both cans and tubes."", 'Sprinkle finely chopped almonds over the top; cool, and break into uneven pieces.', 'Sprinkle finely chopped almonds over the top; cool, and break into uneven pieces.']"
Is a Stem an anatomical part of an almond?,No.,"['We even understand which almonds contain some type of cancer preventative chemical.\nSee how well we look after you', 'Shape mixture into 1-inch balls; insert 1 whole almond in center of each ball.\nRoll lightly in chopped almonds.', 'Add a dab of frosting to the back of the pointy piece of the almond and gently stick it onto an outer edge of the Nutter Butter cookie about halfway between the curve in the middle of the cookie and the top of the cookie.\nSet aside.\nFor the wattle: With clean scissors cut pieces of the red fruit roll-up in the shape of a turkeys wattle (which is the red fleshy thing under the beakagain, see related blog link if needed).']"
"When cutting an almond, what tool should be used?",A fine bladed knife.,"['Sprinkle top with almonds.\nLet cool on wire rack before cutting.', '* Additionally 1 fine bladed knife to split & sliver (if needed).\nBoil water and pour over almonds in a small bowl.\nLeave for 2-3 minutes then drain.\nWhen cool enough to handle squeeze the nut and the kernel will pop out of its skin.\nUse as required.\nTo Split:.\nSeparate the two halves with the knife.\nUse as required.\nTo Sliver:.\nSoak them a little longer when blanching to soften the kernel.\nCut them into 3-4 slivers.\nDry out slivers in a 300F/150C oven.\nUse as required.', 'In food processor w/ chopping blade, process almonds and 1/4 c. sugar unti almonds are finely grnd; set aside.\nLightly grease 5 baking sheets\n(or possibly 2 baking sheets + 3 sheets of aluminum foil or possibly parchment paper, to refrigeratewreaths before baking).\nIn large bowl w/ mixer at med.\nspeed, beat butter & remaining 1/2 c. sugar till light & fluffy.\nBeat in egg, lowfat milk & vanilla & almond extracts till well blended.']"
"When peeling an almond, what tool should be used?",Your fingers.,"['* Note: Look for Mission almonds at the farmers market.\nThey are a bit harder to peel, but they have a more intense almond flavor.\nCover almonds with boiling water and let stand at least 1 minute.\nPull 1 out and see if skin slips off easily.\nIf not, let stand another minute and try again.\nSlip off skins of all almonds.\nCombine sugar, water and syrup in small saucepan over medium-high heat and cook without stirring till temperature reaches 235 degrees on candy thermometer, about 5 min.', '1) Overnight, soak the almonds so that the skin will come off easily the next day.\n2) Clean and cut the mushrooms, pineapple, onion, cherry tomatoes and capsicum and set aside.\n3) Devein the prawns.\n4) Remove the skin of the almond and grind it along with the dry chillies, garlic and ginger to form a smooth paste.\n5) Grate the zest from the lemon.\n6) Add the oil to the pan and saute the cut vegetables on high fire and toss in a pinch of salt.', 'If almonds have skins, blanch almonds in boiling water for a minute or 2\nOnce almonds are blanched, strain them, let them cool for a couple of seconds.\nTo take skins off, just pinch the almonds and the skins will slide off.\nLet the raw almonds completely dry\nHeat a non-stick small-medium pan.\nCut the almonds in slivers and add to pan to toast.\nOnce the almonds are toasted, add them to blender, along with basil and garlic cloves.\nBlend and add olive oil gradually.\nAdd salt and pepper to taste.']"
Is a Core an anatomical part of an apple?,Yes.,"['I like to leave some of the cores and stems intactthe apples are a little harder to eat, but so beautiful that way.', 'Core and cut apple into about four slices like disks\nSpread peanut butter on on half of an apple sandwich and top with raisins and other half of apple..tada', 'Use a melon baller to scoop out the core of the apple halves quickly and with minimal waste.']"
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?","The core of an apple should be avoided as it contains seeds that are not typically considered edible and may be bitter or contain amygdalin, a compound that releases cyanide when ingested.","['I like to leave some of the cores and stems intactthe apples are a little harder to eat, but so beautiful that way.', 'Cut cores out of apples, leaving bottoms of apples intact.\nCut off and save tops of cores.\nUse a spoon or sharp knife to clean flesh from the cored area of the apple, leaving hollows.\nPlace 1 teaspoon cinnamon candies, 1 teaspoon butter, and 1 tablespoon brown sugar into the hollow of each apple.\nPlace retained top of core into hollow of each apple.\nWrap apples in aluminum foil.', 'Use a melon baller to scoop out the apple core; its important to keep the base intact.\nStore in an airtight container in the refrigerator for 3 days.\n(per serving)\nCalories: 205\nTotal Fat: 5.8g (0.5g saturated, 3.1g monounsaturated)\nCarbohydrates: 41 g\nProtein: 2g\nFiber: 7g\nSodium: 150mg']"
Is a Shell an anatomical part of an apple?,Yes.,"['I like to leave some of the cores and stems intactthe apples are a little harder to eat, but so beautiful that way.', 'Cut the apple in half and scoop core out of center; discard core.\nCarefully use spoon (a grapefruit spoon will work well) to scoop out the inside of the apple.\nIn a bowl, combine the apple shavings, corn flakes and peanut butter, mix well.\nFill each apple shell with the mixture.', 'Use a melon baller to scoop out the core of the apple halves quickly and with minimal waste.']"
