question,model_answer,context
Is a Core an anatomical part of an almond?,"No. 

The context refers to almonds as whole nuts or ground into meal/flour.","['Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Add the pecans and almonds and pulse 5 times to coarsely chop the nuts.\nAdd the oats, dates, and apricots and pulse 10 to 15 times, until the mixture is well chopped but still coarse.\nIn a large bowl, whisk the egg, maple syrup, and vanilla together until thoroughly combined.\nAdd the fruit and nut mixture and use your hands to mix thoroughly, being sure to separate any clumps of fruit.', 'Almond meal or almond flour (fancy names for ground almonds) can be found in some health food stores or at Trader Joes, though it can be very pricey under some labels.\nI prefer the freshness of grinding the almonds myself.\nUse real whipping cream unless you have dairy issues; a little kirsch added as you whip it is a nice touch.']"
Is a Shell an anatomical part of an almond?,"No. 

The ""shells"" referred to in the context are likely pastry shells used to hold the almond filling.","['Garnish ends of filled shells with chopped pistachio nuts.', 'Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Take both kinds of almonds and put them into a food processor and process them, but not for too long.\nYou want some big chunks in there.\nPlace the almonds into a big bowl and add sugar, essence of orange flowers and egg white and stir all the ingredients together with a spoon.\nTake your pastry bag and moisten it with water.\nStuff it with the almond dough then squeeze out the dough into circles.\nThe water will make this a lot easier by preventing the dough from sticking.']"
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",Almond shells should be avoided.,"['Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Preheat oven to 425F.\nPlace almonds in a food processor and process finely.\nAdd sugar, butter, egg, vanilla and flour; mix well.\nRoll out the puff pastry and place it in a 9-inch pie plate.\nSpread the almond-butter mixture within the pastry.\nPress the apricot halves firmly into the almond-butter mixture in even intervals.\nPlace whole almonds in between the apricots.\nBake until golden brown, around 30 to 40 minutes.\nGarnish with powdered sugar.', 'Take both kinds of almonds and put them into a food processor and process them, but not for too long.\nYou want some big chunks in there.\nPlace the almonds into a big bowl and add sugar, essence of orange flowers and egg white and stir all the ingredients together with a spoon.\nTake your pastry bag and moisten it with water.\nStuff it with the almond dough then squeeze out the dough into circles.\nThe water will make this a lot easier by preventing the dough from sticking.']"
Is a Peel an anatomical part of an almond?,"No. 

The context mentions removing the peel from oranges but not almonds.","['Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Take both kinds of almonds and put them into a food processor and process them, but not for too long.\nYou want some big chunks in there.\nPlace the almonds into a big bowl and add sugar, essence of orange flowers and egg white and stir all the ingredients together with a spoon.\nTake your pastry bag and moisten it with water.\nStuff it with the almond dough then squeeze out the dough into circles.\nThe water will make this a lot easier by preventing the dough from sticking.', 'Boil until syrupy.\nCut the oranges in 1/4 inch thick slices.\nDo not peel.\nAdd to the orange juice in the saucepan.\nSimmer on low for 10 minutes, or until glazed.\nPlace on wax paper to dry.\nWhen cool, cut in half.\nPlace a baking sheet in the oven and heat to 400 degrees F.\nGrind the almonds finely in a food processor, blender or grinder.\nWith an elextric mixer, cream the margarine and remaining sugar until light and fluffy.\nBeat in the egg and 2 tablespoons of the orange syrup.']"
Is a Stem an anatomical part of an almond?,"No. 

The context refers to almonds as nuts, not as having stems.","[""Sift the confectioners' sugar and ground almonds into a bowl and discard any larger nut chunks.\n(If you have more than a tablespoon of bigger chunks, grind those until powdery and then resift.)\nCombine the egg whites and salt in the bowl of a stand mixer fitted with a whisk attachment (or in a large bowl with the whisk attachment of a hand-held electric mixer).\nWhip on medium-low speed until frothy, and then add the granulated sugar."", 'Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Add the pecans and almonds and pulse 5 times to coarsely chop the nuts.\nAdd the oats, dates, and apricots and pulse 10 to 15 times, until the mixture is well chopped but still coarse.\nIn a large bowl, whisk the egg, maple syrup, and vanilla together until thoroughly combined.\nAdd the fruit and nut mixture and use your hands to mix thoroughly, being sure to separate any clumps of fruit.']"
"When cutting an almond, what tool should be used?",Food processor,"['Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Take both kinds of almonds and put them into a food processor and process them, but not for too long.\nYou want some big chunks in there.\nPlace the almonds into a big bowl and add sugar, essence of orange flowers and egg white and stir all the ingredients together with a spoon.\nTake your pastry bag and moisten it with water.\nStuff it with the almond dough then squeeze out the dough into circles.\nThe water will make this a lot easier by preventing the dough from sticking.', 'Preheat the oven to 325F.\nLine a couple of cookie trays with parchment paper.\nIn a food processor, process the almonds with the sugar until finely ground.\nAdd the cocoa, spices and broken up chocolate and process again, until the chocolate is finely ground.\nProcess in the egg whites and the extract until it blends and forms a mass.\nRemove the dough, let sit for about 5 minutes.\nRoll out on a board sprinkled with icing sugar.\nCut with cookie cutters and place on the trays.']"
"When peeling an almond, what tool should be used?",Food processor,"['Toast almonds in a dry skillet over medium high heat for 5 minutes; set aside to cool.\nProcess almonds in a food processor, pulsing until coarsely chopped; add apricots, honey, cinnamon, ginger, and salt processing until everything is finely chopped and sticks together, about 45 seconds.\nUsing your hands roll mixture into round balls (about a heaping teaspoon each) and place on a baking sheet lined with waxed paper.', 'Boil until syrupy.\nCut the oranges in 1/4 inch thick slices.\nDo not peel.\nAdd to the orange juice in the saucepan.\nSimmer on low for 10 minutes, or until glazed.\nPlace on wax paper to dry.\nWhen cool, cut in half.\nPlace a baking sheet in the oven and heat to 400 degrees F.\nGrind the almonds finely in a food processor, blender or grinder.\nWith an elextric mixer, cream the margarine and remaining sugar until light and fluffy.\nBeat in the egg and 2 tablespoons of the orange syrup.', 'Preheat the oven to 325F.\nLine a couple of cookie trays with parchment paper.\nIn a food processor, process the almonds with the sugar until finely ground.\nAdd the cocoa, spices and broken up chocolate and process again, until the chocolate is finely ground.\nProcess in the egg whites and the extract until it blends and forms a mass.\nRemove the dough, let sit for about 5 minutes.\nRoll out on a board sprinkled with icing sugar.\nCut with cookie cutters and place on the trays.']"
Is a Core an anatomical part of an apple?,Yes.,"['When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', 'Cut a hole in the top of the apple and use a melon baller to scoop out the core and more to make room for the drink.\nPlace the apple shell in the freezer for 15 minutes.\nMix the rest of the ingredients with the removed apple pulp in a blender.\nStrain into the apple shell and serve with a straw.', 'Core, pare and chop apples into bite-size chunks.\nPlace in saucepan with water over medium heat.\nSprinkle with sugar, cinnamon and nutmeg.\nAdd butter and cook, covered, about 15 min.\n,until hot and tender, but not mushy.\nMakes 8-12 servings.']"
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?","While not explicitly stated, the context implies apple cores are typically removed before eating.","['When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', 'Core, pare and chop apples into bite-size chunks.\nPlace in saucepan with water over medium heat.\nSprinkle with sugar, cinnamon and nutmeg.\nAdd butter and cook, covered, about 15 min.\n,until hot and tender, but not mushy.\nMakes 8-12 servings.', 'Cut a hole in the top of the apple and use a melon baller to scoop out the core and more to make room for the drink.\nPlace the apple shell in the freezer for 15 minutes.\nMix the rest of the ingredients with the removed apple pulp in a blender.\nStrain into the apple shell and serve with a straw.']"
Is a Shell an anatomical part of an apple?,Yes.,"['Cut a hole in the top of the apple and use a melon baller to scoop out the core and more to make room for the drink.\nPlace the apple shell in the freezer for 15 minutes.\nMix the rest of the ingredients with the removed apple pulp in a blender.\nStrain into the apple shell and serve with a straw.', 'Serve hot with an ice cream of your choosing!\nAuthors Notes: Another gorgeous way of presenting these pies is to slice off the apple top, hollow out the apples contents with a spoon or melon baller, [being careful not to breach the outer apple shell] and cook the innards just as you would have the apple slices.\nAlso, make certain that the apples you choose can stand upright on their own.\nLastly, cut raw pie crusts in strips and lay across the apple top interwoven like a lattice fence.', 'Combine undrained apples and all except butter.\nMix lightly.\nSpoon ingredients into pastry shell.\nDot with butter.\nBake at 425 for min.\nServe hot or possibly cool.\nThis is an American version of ""Apple Nianih Chinn Oir""\nIrish for ""Noomh of the Golden brown Tresses"", a beautiful maiden in Irish mythology who took her man to the land of eternal youth.\nTry it, Try it!\nThis recipe is not tested, it doesn\'t say if it is topped or possibly not.']"
