question,model_answer,context
Is a Core an anatomical part of an almond?,"No.   The context refers to almonds as a food ingredient, not an anatomical structure.","['Top with the scallions, cilantro and almonds.', '3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', 'almond meal made with ground almonds to pastry crusts or other baked goods.']"
Is a Shell an anatomical part of an almond?,No.   The context refers to almond shells as separate from the nut itself.,"['the nut itself. That way, you can keep the shells separate from the nuts.', 'almond meal made with ground almonds to pastry crusts or other baked goods.', 'the avocado half. If a piece of shell falls into the egg, simply use the shell to scoop it out.']"
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",The provided text doesn't mention the edibility of almond shells.,"['Repeat with the other half.\nTips: It is important to refrigerate (or wrap, label-including the date and freeze) any unused almond meal because it can become rancid after being ground and exposed to oxygen and light.\nStore-bought almond meal is frequently made with blanched almonds- almonds that have had the skins removed.\nTo maintain the valuable nutrition, use almonds with their skins on because the skin contains healthy antioxidants.', 'Can be cooked through if preferred.\nSprinkle almonds on top of each serving.', 'Not long before you want to eat, toast the slivered almonds by tossing them in a dry pan over medium heat until they are turning gold and flashed bronze in parts, then tip them onto a plate.\nWhen theyre cool, mix them with the reserved amaretti crumbs.\nRemove the plastic wrap from the bowl and scatter the nuts and crumbs over the pale, set surface.']"
Is a Peel an anatomical part of an almond?,Yes.,"['3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', ""The blush on the skin is pretty, but during taste tests most of us pulled off the peel and pushed it to the side of the plate.\nAlmond Paste: Almond paste is simply a combination of ground almonds and sugar.\nIt's available in supermarkets, usually in the baking aisle, and comes in both cans and tubes."", 'Sprinkle finely chopped almonds over the top; cool, and break into uneven pieces.']"
Is a Stem an anatomical part of an almond?,"No.   The context refers to almonds as a food item, not a plant part.","['Next, draw the top of the eyelid over the top of the almond. The base of the eyelid comes down over the top of the iris and covers the top of it slightly.', '3.6 Angle two blanched slivered almonds on top of the body piece.\n3.7', 'stem, which is located in amongst the foliage, or leaves.']"
"When cutting an almond, what tool should be used?",A fine-bladed knife.,"['Sprinkle top with almonds.\nLet cool on wire rack before cutting.', '* Additionally 1 fine bladed knife to split & sliver (if needed).\nBoil water and pour over almonds in a small bowl.\nLeave for 2-3 minutes then drain.\nWhen cool enough to handle squeeze the nut and the kernel will pop out of its skin.\nUse as required.\nTo Split:.\nSeparate the two halves with the knife.\nUse as required.\nTo Sliver:.\nSoak them a little longer when blanching to soften the kernel.\nCut them into 3-4 slivers.\nDry out slivers in a 300F/150C oven.\nUse as required.', 'How to Use a Cuticle Cutter']"
"When peeling an almond, what tool should be used?",Your fingers.,"['* Note: Look for Mission almonds at the farmers market.\nThey are a bit harder to peel, but they have a more intense almond flavor.\nCover almonds with boiling water and let stand at least 1 minute.\nPull 1 out and see if skin slips off easily.\nIf not, let stand another minute and try again.\nSlip off skins of all almonds.\nCombine sugar, water and syrup in small saucepan over medium-high heat and cook without stirring till temperature reaches 235 degrees on candy thermometer, about 5 min.', '1.4 Using pot holders to protect your hands from the heat, pull the baking sheet out of the oven. Stir and flip the almond slices with a spatula or wooden spoon. Return the baking sheet to the oven and close the door. You can also shake the baking sheet to help redistribute the nuts.', '1) Overnight, soak the almonds so that the skin will come off easily the next day.\n2) Clean and cut the mushrooms, pineapple, onion, cherry tomatoes and capsicum and set aside.\n3) Devein the prawns.\n4) Remove the skin of the almond and grind it along with the dry chillies, garlic and ginger to form a smooth paste.\n5) Grate the zest from the lemon.\n6) Add the oil to the pan and saute the cut vegetables on high fire and toss in a pinch of salt.']"
Is a Core an anatomical part of an apple?,Yes.,"['4. Separating the Core from a Peeled Apple', '2.2 Inspecting the cross sections of the apple will show you what the core looks like. Some apples, such as the Discovery apple, have symmetrical cores. Others will have a distinctively shaped core that can help you narrow your search. For example, the Wealthy apple has a symmetrical core when cut in half. This means that both halves of the core will look the same when the apple is cut down the middle.', 'I like to leave some of the cores and stems intactthe apples are a little harder to eat, but so beautiful that way.']"
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?","Apple cores can be eaten, but the hard, stringy parts are generally removed.","['4. Separating the Core from a Peeled Apple', 'you might end up taking out some of the core. Cut the hard, stringy core chunks off the apple slices before using them.', 'I like to leave some of the cores and stems intactthe apples are a little harder to eat, but so beautiful that way.']"
Is a Shell an anatomical part of an apple?,"No. The context refers to an eggshell, not an apple shell.","['4. Separating the Core from a Peeled Apple', '2.2 Inspecting the cross sections of the apple will show you what the core looks like. Some apples, such as the Discovery apple, have symmetrical cores. Others will have a distinctively shaped core that can help you narrow your search. For example, the Wealthy apple has a symmetrical core when cut in half. This means that both halves of the core will look the same when the apple is cut down the middle.', 'the avocado half. If a piece of shell falls into the egg, simply use the shell to scoop it out.']"
